,Value,Unit
Diversion,86.63,%
GWP,-478.25,kg CO2/Mg
Operation Cost,21.29,$/Mg
Capital cost,35.28,$/Mg
Total cost,56.58,$/Mg
Collection,74621,Mg/yr
LF,9978,Mg/yr
WTE,58759,Mg/yr
Composting,0,Mg/yr
AD,0,Mg/yr
SS_MRF,18305,Mg/yr
Reprocessing,17291,Mg/yr
