,Value,Unit
Diversion,21.26,%
GWP,-388.43,kg CO2/Mg
Operation Cost,34.75,$/Mg
Capital cost,2.43,$/Mg
Total cost,37.17,$/Mg
Collection,74621,Mg/yr
LF,58759,Mg/yr
WTE,0,Mg/yr
Composting,0,Mg/yr
AD,0,Mg/yr
SS_MRF,18305,Mg/yr
Reprocessing,15861,Mg/yr
